experiment_seed,heldout_center,support_size,support_seed,method,source_method,deterministic_selected_expert,oracle_expert,selection_stability,p_oracle_selected,p_eval_rank_le_2,mean_bootstrap_oracle_gap_pct,ci_low_oracle_gap_pct,ci_high_oracle_gap_pct,p_high_regret_gt_2,p_catastrophic_gt_5,p_selection_changed,mean_bootstrap_support_margin,margin_bin,split_id
43,1,8,31,direct_support_nelbo,support_set_nelbo_top1,2,3,0.6578999999999999,0.3415,0.3421,6.674089760011731,0.0,10.139307583206447,0.6585,0.6585,0.3421,42.70321495399475,q3_mid_high,target1_seed31_random_k8
43,1,16,31,direct_support_nelbo,support_set_nelbo_top1,3,3,0.7883,0.7883,0.7906,2.06568445836806,0.0,9.80525965102936,0.2117,0.2117,0.2117,30.122664679908752,q3_mid_high,target1_seed31_random_k16
43,1,32,31,direct_support_nelbo,support_set_nelbo_top1,3,3,0.9788,0.9788,0.9788,0.19730127165307615,0.0,0.0,0.0212,0.0212,0.0212,32.65768434371948,q4_high,target1_seed31_random_k32
43,2,4,17,direct_support_nelbo,support_set_nelbo_top1,0,4,0.5339,0.3138,0.8477,1.6736435100786509,0.0,4.173969233802263,0.1523,0.0,0.4661,24.580231771087647,q2_mid_low,target2_seed17_random_k4
43,2,8,17,direct_support_nelbo,support_set_nelbo_top1,0,4,0.7459,0.184,0.9299,1.881806357324676,0.0,4.3401661460152825,0.816,0.0,0.2541,18.986233938217165,q2_mid_low,target2_seed17_random_k8
43,2,16,17,direct_support_nelbo,support_set_nelbo_top1,0,4,0.7494000000000001,0.237,0.9864,1.6845662580504712,0.0,2.1718420777271357,0.763,0.0,0.2506,15.703333568000794,q2_mid_low,target2_seed17_random_k16
43,2,32,17,direct_support_nelbo,support_set_nelbo_top1,0,4,0.5403,0.4466,0.9869,1.259896206599858,0.0,2.2286082906311027,0.5534,0.0,0.4597,10.902145334339142,q1_low,target2_seed17_random_k32
43,2,4,23,direct_support_nelbo,support_set_nelbo_top1,4,4,0.6281,0.6281,0.7374,1.2825193067092628,0.0,4.114554520707364,0.2626,0.0,0.3719,40.333655548095706,q3_mid_high,target2_seed23_random_k4
43,2,8,23,direct_support_nelbo,support_set_nelbo_top1,4,4,0.7085,0.7085,0.74,1.1398394019100822,0.0,4.162446265948845,0.26,0.0,0.2915,28.643017309188842,q2_mid_low,target2_seed23_random_k8
43,2,16,23,direct_support_nelbo,support_set_nelbo_top1,4,4,0.8573,0.8573,0.9491,0.36978151293473394,0.0,3.986797343292886,0.0509,0.0,0.1427,20.430523423767088,q3_mid_high,target2_seed23_random_k16
43,2,32,23,direct_support_nelbo,support_set_nelbo_top1,4,4,0.743,0.743,0.9556,0.6231384472360327,0.0,4.213198575211438,0.257,0.0,0.257,11.565712839221954,q1_low,target2_seed23_random_k32
43,2,4,31,direct_support_nelbo,support_set_nelbo_top1,4,4,0.6674,0.6674,1.0,0.6246041752653383,0.0,1.8779440026017387,0.0,0.0,0.3326,27.85465227127075,q1_low,target2_seed31_random_k4
43,2,8,31,direct_support_nelbo,support_set_nelbo_top1,4,4,0.9708,0.9708,1.0,0.049349282945378,0.0,1.690043936485548,0.0,0.0,0.0292,44.109397911071774,q4_high,target2_seed31_random_k8
43,2,16,31,direct_support_nelbo,support_set_nelbo_top1,4,4,0.7885,0.7885,0.999,0.39072918937814044,0.0,1.8374884995385206,0.001,0.0,0.2115,21.03600523338318,q2_mid_low,target2_seed31_random_k16
43,2,32,31,direct_support_nelbo,support_set_nelbo_top1,4,4,0.908,0.908,1.0,0.15736945048691117,0.0,1.710537505292513,0.0,0.0,0.092,19.68002274951935,q3_mid_high,target2_seed31_random_k32
43,3,4,17,direct_support_nelbo,support_set_nelbo_top1,0,0,0.6158,0.6158,1.0,2.2376916577681736,0.0,5.824288541822419,0.3842,0.3842,0.3842,33.00944117126465,q1_low,target3_seed17_random_k4
43,3,8,17,direct_support_nelbo,support_set_nelbo_top1,0,0,0.7357,0.7357,0.9991,1.5426905918219451,0.0,5.810902752066757,0.2643,0.2643,0.2643,22.798268428039552,q2_mid_low,target3_seed17_random_k8
43,3,16,17,direct_support_nelbo,support_set_nelbo_top1,0,0,0.6562,0.6562,1.0,2.071869985887132,0.0,6.026381576169667,0.3438,0.3438,0.3438,12.669385969257355,q1_low,target3_seed17_random_k16
43,3,32,17,direct_support_nelbo,support_set_nelbo_top1,0,0,0.9682,0.9682,0.999,0.1760574095920096,0.0,5.275573314628774,0.0318,0.0318,0.0318,28.67600660881996,q4_high,target3_seed17_random_k32
43,3,4,23,direct_support_nelbo,support_set_nelbo_top1,0,0,0.8225,0.8225,1.0,0.9985299226738212,0.0,5.62552069112012,0.1775,0.1775,0.1775,38.89150682296753,q4_high,target3_seed23_random_k4
43,3,8,23,direct_support_nelbo,support_set_nelbo_top1,0,0,0.8918,0.8918,0.9978,0.6269066541578366,0.0,5.631213463322342,0.1082,0.1082,0.1082,28.68182314682007,q3_mid_high,target3_seed23_random_k8
43,3,16,23,direct_support_nelbo,support_set_nelbo_top1,0,0,0.7251000000000001,0.7251,0.9686,1.8756998595009915,0.0,13.983291446189162,0.2749,0.2749,0.2749,16.66350297307968,q2_mid_low,target3_seed23_random_k16
43,3,32,23,direct_support_nelbo,support_set_nelbo_top1,0,0,0.8725,0.8725,0.9967,0.7702037762397468,0.0,5.81057522106222,0.1275,0.1275,0.1275,19.20631483616829,q3_mid_high,target3_seed23_random_k32
43,3,4,31,direct_support_nelbo,support_set_nelbo_top1,0,0,0.779,0.779,0.9257,1.8509611261657923,0.0,13.667723457353262,0.221,0.221,0.221,21.771070295715333,q3_mid_high,target3_seed31_random_k4
43,3,8,31,direct_support_nelbo,support_set_nelbo_top1,0,0,0.9476,0.9476,0.9999,0.2955525633683048,0.0,5.625167352091104,0.0524,0.0524,0.0524,32.75924672050476,q3_mid_high,target3_seed31_random_k8
